
27/08/2021
7.2 , 30 Nov 2020
7.1 , 1 Dec 2019
7.0 , 10 Jan 2019
5.6 , 31 Dec 2018
5.5 , 21 Jul 2016
5.4 , 3 Sep 2015
5.3 , 14 Aug 2014
5.2 , 6 Jan 2011
5.1 , 24 Aug 2006
5.0 , 5 Sep 2005
4.4 , 7 Aug 2008
4.3 , 31 Mar 2005
4.2 , 6 Sep 2002
4.1 , 12 Mar 2002
4.0 , 23 Jun 2001
3.0 , 20 Oct 2000
